P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year
KOI-87.01,Kepler-22 b,Warm,rocky-iron,14.38,2.17,3.05,314.0,289.86,0.85,KOI-87,Cyg,0.97,0.98,1,2015
KOI-172.02,Kepler-69 c,Warm,rocky-iron,6.01,1.74,1.98,328.6,242.47,0.71,KOI-172,Cyg,0.81,0.94,1,2015
KOI-250.04,Kepler-26 e,Warm,rocky-iron,12.80,2.11,2.88,319.5,46.83,0.21,KOI-250,Lyr,0.55,0.53,1,2015
KOI-438.02,Kepler-155 c,Warm,rocky-iron,6.27,1.76,2.03,313.6,52.66,0.23,KOI-438,Cyg,0.56,0.54,1,2015
KOI-463.01,empty,Warm,rocky-iron,4.11,1.57,1.67,310.6,18.48,0.09,KOI-463,Cyg,0.30,0.30,1,2015
KOI-518.03,Kepler-174 d,Warm,rocky-iron,12.55,2.10,2.85,240.5,247.35,0.64,KOI-518,Lyr,0.58,0.59,1,2015
KOI-571.05,Kepler-186 f,Warm,rocky-iron,1.05,1.06,0.94,213.1,129.95,0.39,KOI-571,Cyg,0.48,0.46,1,2015
KOI-701.03,Kepler-62 e,Warm,rocky-iron,5.88,1.73,1.97,307.4,122.39,0.42,KOI-701,Lyr,0.64,0.65,1,2015
KOI-812.03,Kepler-235 e,Warm,rocky-iron,9.13,1.94,2.43,309.0,46.18,0.20,KOI-812,Lyr,0.51,0.48,1,2015
KOI-854.01,empty,Warm,rocky-iron,9.51,1.96,2.47,273.1,56.06,0.23,KOI-854,Lyr,0.49,0.47,1,2015
KOI-959.01,empty,Warm,rocky-iron,18.80,2.31,3.52,229.8,12.71,0.05,KOI-959,Lyr,0.09,0.12,1,2015
KOI-1361.01,Kepler-61 b,Warm,rocky-iron,14.38,2.17,3.05,318.9,59.88,0.25,KOI-1361,Cyg,0.60,0.60,1,2015
KOI-1596.02,Kepler-309 c,Warm,rocky-iron,12.31,2.09,2.82,248.7,105.36,0.35,KOI-1596,Cyg,0.51,0.49,1,2015
KOI-1871.01,empty,Warm,rocky-iron,13.84,2.15,2.99,313.9,92.73,0.35,KOI-1871,Lyr,0.65,0.62,1,2015
KOI-1876.01,empty,Warm,rocky-iron,18.10,2.29,3.45,300.1,82.53,0.31,KOI-1876,Cyg,0.56,0.56,1,2015
KOI-2020.01,empty,Warm,rocky-iron,13.05,2.12,2.90,284.9,110.97,0.37,KOI-2020,Cyg,0.54,0.55,1,2015
KOI-2529.02,Kepler-436 b,Warm,rocky-iron,8.41,1.90,2.33,314.9,64.00,0.25,KOI-2529,Cyg,0.51,0.51,1,2015
KOI-2650.01,Kepler-395 c,Warm,rocky-iron,1.84,1.25,1.18,300.0,34.99,0.16,KOI-2650,Cyg,0.41,0.40,1,2015
KOI-2770.01,empty,Warm,rocky-iron,18.80,2.31,3.52,249.4,205.38,0.59,KOI-2770,Cyg,0.64,0.63,1,2015
