P. Name,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Constellation,P. Habitable,P. Disc. Year
KOI-41.01,Hot,rocky-iron,17.76,2.28,3.42,993.3,12.82,0.11,Lyr,0,2015
KOI-41.02,Hot,rocky-iron,2.16,1.31,1.26,1199.9,6.89,0.07,Lyr,0,2015
KOI-41.03,Hot,rocky-iron,3.49,1.50,1.55,713.6,35.33,0.22,Lyr,0,2015
KOI-42.01,Hot,rocky-iron,25.45,2.47,4.17,908.7,17.83,0.14,Lyr,0,2015
KOI-46.02,Hot,rocky-iron,0.64,0.91,0.77,1105.9,6.03,0.07,Dra,0,2015
KOI-69.01,Hot,rocky-iron,4.31,1.59,1.70,1079.6,4.73,0.05,Lyr,0,2015
KOI-70.02,Hot,rocky-iron,12.80,2.11,2.88,1141.2,3.70,0.04,Lyr,0,2015
KOI-70.04,Hot,rocky-iron,0.45,0.82,0.67,956.1,6.10,0.06,Lyr,0,2015
KOI-70.05,Hot,rocky-iron,0.84,0.99,0.86,660.6,19.58,0.14,Lyr,0,2015
KOI-72.01,Hot,rocky-iron,3.09,1.45,1.47,2006.0,0.84,0.02,Dra,0,2015
KOI-72.02,Hot,rocky-iron,17.76,2.28,3.42,568.8,45.29,0.24,Dra,0,2015
KOI-82.02,Hot,rocky-iron,2.73,1.40,1.39,675.5,10.31,0.08,Lyr,0,2015
KOI-82.03,Hot,rocky-iron,0.40,0.79,0.64,489.0,27.45,0.16,Lyr,0,2015
KOI-82.04,Hot,rocky-iron,0.15,0.58,0.45,747.3,7.07,0.07,Lyr,0,2015
KOI-82.05,Hot,rocky-iron,0.09,0.49,0.37,818.7,5.29,0.05,Lyr,0,2015
KOI-84.01,Hot,rocky-iron,13.31,2.13,2.93,810.0,9.29,0.08,Lyr,0,2015
KOI-85.02,Hot,rocky-iron,3.49,1.50,1.55,1764.7,2.15,0.04,Lyr,0,2015
KOI-85.03,Hot,rocky-iron,6.27,1.76,2.03,1150.6,8.13,0.09,Lyr,0,2015
KOI-87.01,Warm,rocky-iron,14.38,2.17,3.05,314.0,289.86,0.85,Cyg,1,2015
