P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-41.01,Kepler-100 c,Hot,rocky-iron,17.76,2.28,3.42,993.3,12.82,0.11,KOI-41,Lyr,1.08,1.49,0,2015,0.11111111
KOI-41.02,Kepler-100 b,Hot,rocky-iron,2.16,1.31,1.26,1199.9,6.89,0.07,KOI-41,Lyr,1.08,1.49,0,2015,0.07070707
KOI-41.03,Kepler-100 d,Hot,rocky-iron,3.49,1.50,1.55,713.6,35.33,0.22,KOI-41,Lyr,1.08,1.49,0,2015,0.22222222
KOI-42.01,Kepler-410 A b,Hot,rocky-iron,25.45,2.47,4.17,908.7,17.83,0.14,KOI-42,Lyr,1.24,1.36,0,2015,0.14141414
KOI-46.02,Kepler-101 c,Hot,rocky-iron,0.64,0.91,0.77,1105.9,6.03,0.07,KOI-46,Dra,1.12,1.21,0,2015,0.07070707
KOI-69.01,Kepler-93 b,Hot,rocky-iron,4.31,1.59,1.70,1079.6,4.73,0.05,KOI-69,Lyr,0.91,0.92,0,2015,0.05050505
KOI-70.02,Kepler-20 b,Hot,rocky-iron,12.80,2.11,2.88,1141.2,3.70,0.04,KOI-70,Lyr,0.88,0.93,0,2015,0.04040404
KOI-70.04,Kepler-20 e,Hot,rocky-iron,0.45,0.82,0.67,956.1,6.10,0.06,KOI-70,Lyr,0.88,0.93,0,2015,0.06060606
KOI-70.05,Kepler-20 f,Hot,rocky-iron,0.84,0.99,0.86,660.6,19.58,0.14,KOI-70,Lyr,0.88,0.93,0,2015,0.14141414
KOI-72.01,Kepler-10 b,Hot,rocky-iron,3.09,1.45,1.47,2006.0,0.84,0.02,KOI-72,Dra,0.90,1.06,0,2015,0.02020202
KOI-72.02,Kepler-10 c,Hot,rocky-iron,17.76,2.28,3.42,568.8,45.29,0.24,KOI-72,Dra,0.90,1.06,0,2015,0.24242424
KOI-82.02,Kepler-102 d,Hot,rocky-iron,2.73,1.40,1.39,675.5,10.31,0.08,KOI-82,Lyr,0.73,0.76,0,2015,0.08080808
KOI-82.03,Kepler-102 f,Hot,rocky-iron,0.40,0.79,0.64,489.0,27.45,0.16,KOI-82,Lyr,0.73,0.76,0,2015,0.16161616
KOI-82.04,Kepler-102 c,Hot,rocky-iron,0.15,0.58,0.45,747.3,7.07,0.07,KOI-82,Lyr,0.73,0.76,0,2015,0.07070707
KOI-82.05,Kepler-102 b,Hot,rocky-iron,0.09,0.49,0.37,818.7,5.29,0.05,KOI-82,Lyr,0.73,0.76,0,2015,0.05050505
KOI-84.01,Kepler-19 b,Hot,rocky-iron,13.31,2.13,2.93,810.0,9.29,0.08,KOI-84,Lyr,0.89,0.81,0,2015,0.08080808
KOI-85.02,Kepler-65 b,Hot,rocky-iron,3.49,1.50,1.55,1764.7,2.15,0.04,KOI-85,Lyr,1.27,1.42,0,2015,0.04040404
KOI-85.03,Kepler-65 d,Hot,rocky-iron,6.27,1.76,2.03,1150.6,8.13,0.09,KOI-85,Lyr,1.27,1.42,0,2015,0.09090909
KOI-87.01,Kepler-22 b,Warm,rocky-iron,14.38,2.17,3.05,314.0,289.86,0.85,KOI-87,Cyg,0.97,0.98,1,2015,0.85858585
KOI-94.04,Kepler-89 b,Hot,rocky-iron,3.92,1.55,1.63,1430.5,3.74,0.05,KOI-94,Cyg,1.08,1.30,0,2015,0.05050505
KOI-104.01,Kepler-94 b,Hot,rocky-iron,26.43,2.49,4.26,877.9,2.51,0.03,KOI-104,Lyr,0.64,0.61,0,2015,0.03030303
KOI-115.02,Kepler-105 c,Hot,rocky-iron,8.07,1.88,2.28,1234.5,7.13,0.07,KOI-115,Lyr,1.08,1.33,0,2015,0.07070707
KOI-116.01,Kepler-106 c,Hot,rocky-iron,20.29,2.35,3.67,844.4,13.57,0.11,KOI-116,Cyg,0.94,1.03,0,2015,0.11111111
KOI-116.03,Kepler-106 b,Hot,rocky-iron,0.51,0.85,0.71,1065.2,6.16,0.06,KOI-116,Cyg,0.94,1.03,0,2015,0.06060606
KOI-116.04,Kepler-106 d,Hot,rocky-iron,0.84,0.99,0.86,690.9,23.98,0.16,KOI-116,Cyg,0.94,1.03,0,2015,0.16161616
KOI-117.02,Kepler-107 c,Hot,rocky-iron,7.43,1.84,2.20,1306.0,4.90,0.06,KOI-117,Cyg,1.14,1.41,0,2015,0.06060606
KOI-117.03,Kepler-107 b,Hot,rocky-iron,3.92,1.55,1.63,1499.4,3.18,0.04,KOI-117,Cyg,1.14,1.41,0,2015,0.04040404
KOI-117.04,Kepler-107 d,Hot,rocky-iron,1.09,1.07,0.95,1108.6,7.96,0.08,KOI-117,Cyg,1.14,1.41,0,2015,0.08080808
KOI-123.01,Kepler-109 b,Hot,rocky-iron,18.10,2.29,3.45,1197.3,6.48,0.07,KOI-123,Lyr,1.04,1.32,0,2015,0.07070707
KOI-123.02,Kepler-109 c,Hot,rocky-iron,26.93,2.50,4.31,824.4,21.22,0.15,KOI-123,Lyr,1.04,1.32,0,2015,0.15151515
